district,tehsil,locality,property_type,rate_sqm,effective_date
Lucknow,Sadar,Gomti Nagar,Residential,52000,2023-08-01
Lucknow,Sadar,Hazratganj,Commercial,95000,2023-08-01
Lucknow,Sadar,Indira Nagar,Residential,45000,2023-08-01
Lucknow,Sadar,Rajaji Puram,Residential,30000,2023-08-01
Lucknow,Sadar,Aliganj,Residential,38000,2023-08-01
Lucknow,Sadar,Alambagh,Residential,28000,2023-08-01
Lucknow,BKT,Chinhat,Residential,20000,2023-08-01
Noida,Gautam Buddha Nagar,Sector 18,Commercial,120000,2023-08-01
Noida,Gautam Buddha Nagar,Sector 62,Residential,75000,2023-08-01
Noida,Gautam Buddha Nagar,Sector 137,Residential,55000,2023-08-01
Kanpur,Kanpur Nagar,Swaroop Nagar,Residential,28000,2023-08-01
Kanpur,Kanpur Nagar,Kidwai Nagar,Residential,25000,2023-08-01
Varanasi,Varanasi,Lanka,Residential,42000,2023-08-01
Varanasi,Varanasi,Sigra,Residential,38000,2023-08-01
Ghaziabad,Ghaziabad,Indirapuram,Residential,58000,2023-08-01
Ghaziabad,Ghaziabad,Raj Nagar,Residential,50000,2023-08-01
Lucknow,Sadar,Indira Vihar,Residential,41000,2023-08-01
Lucknow,Malihabad,Shiv Colony,Commercial,107000,2023-08-01
Lucknow,Mohanlalganj,Tagore Vihar,Residential,44000,2023-08-01
Lucknow,Mohanlalganj,Rajiv Road,Residential,35000,2023-08-01
Lucknow,Mohanlalganj,Saket City,Residential,35000,2023-08-01
Lucknow,Malihabad,Shiv City,Commercial,84000,2023-08-01
Lucknow,BKT,Tagore Colony,Residential,29000,2023-08-01
Lucknow,Malihabad,Ashok Enclave,Commercial,69000,2023-08-01
Lucknow,Mohanlalganj,Rajiv Khand,Residential,41000,2023-08-01
Lucknow,Sadar,Gomti Colony,Residential,33000,2023-08-01
Lucknow,BKT,Subhash Colony,Commercial,90000,2023-08-01
Lucknow,Malihabad,Kalyan Bagh,Residential,41000,2023-08-01
Lucknow,Sarojini Nagar,Krishna Puram,Residential,33000,2023-08-01
Lucknow,BKT,Ashok City,Residential,27000,2023-08-01
Lucknow,Malihabad,Saket Nagar,Commercial,96000,2023-08-01
Lucknow,Mohanlalganj,Gandhi Vihar,Residential,28000,2023-08-01
Lucknow,Sarojini Nagar,Ram Enclave,Residential,37000,2023-08-01
Lucknow,Malihabad,Yamuna Road,Agricultural,7000,2023-08-01
Lucknow,BKT,Saraswati Vihar,Commercial,80000,2023-08-01
Lucknow,BKT,Arya Ganj,Residential,33000,2023-08-01
Lucknow,Sadar,Shastri Puram,Residential,33000,2023-08-01
Lucknow,Malihabad,Saket Colony,Agricultural,9000,2023-08-01
Lucknow,Sadar,Ashok Road,Residential,34000,2023-08-01
Lucknow,Sarojini Nagar,Gomti City,Commercial,69000,2023-08-01
Lucknow,Sarojini Nagar,Patel City,Commercial,73000,2023-08-01
Lucknow,Sarojini Nagar,Krishna Enclave,Commercial,83000,2023-08-01
Lucknow,Sarojini Nagar,Tagore Road,Residential,32000,2023-08-01
Lucknow,Mohanlalganj,Shastri Ganj,Residential,37000,2023-08-01
Lucknow,Mohanlalganj,Ram Bagh,Commercial,95000,2023-08-01
Lucknow,Malihabad,Ganga Puram,Residential,27000,2023-08-01
Lucknow,Sarojini Nagar,Ganga City,Residential,28000,2023-08-01
Lucknow,BKT,Arya City,Commercial,70000,2023-08-01
Lucknow,BKT,Shyam Road,Commercial,86000,2023-08-01
Lucknow,BKT,Arya Enclave,Commercial,71000,2023-08-01
Lucknow,Sadar,Ashok Nagar,Residential,25000,2023-08-01
Lucknow,BKT,Krishna Road,Commercial,97000,2023-08-01
Lucknow,Sarojini Nagar,Subhash City,Commercial,78000,2023-08-01
Lucknow,Mohanlalganj,Indira City,Commercial,104000,2023-08-01
Lucknow,Sarojini Nagar,Saraswati Khand,Commercial,98000,2023-08-01
Lucknow,Malihabad,Vasant Vihar,Residential,36000,2023-08-01
Lucknow,Mohanlalganj,Nehru Khand,Residential,33000,2023-08-01
Lucknow,Sadar,Yamuna City,Commercial,103000,2023-08-01
Lucknow,BKT,Saraswati Ganj,Agricultural,10000,2023-08-01
Lucknow,Sadar,Azad Khand,Residential,30000,2023-08-01
Lucknow,Mohanlalganj,Nehru Enclave,Commercial,65000,2023-08-01
Lucknow,BKT,Shiv Enclave,Residential,40000,2023-08-01
Lucknow,Sarojini Nagar,Azad Ganj,Residential,44000,2023-08-01
Lucknow,BKT,Arya Khand,Residential,27000,2023-08-01
Lucknow,Mohanlalganj,Yamuna Nagar,Commercial,108000,2023-08-01
Lucknow,Malihabad,Rajiv Bagh,Residential,28000,2023-08-01
Lucknow,Sadar,Shiv Khand,Residential,38000,2023-08-01
Lucknow,BKT,Vivekananda Vihar,Residential,40000,2023-08-01
Lucknow,Malihabad,Shiv Puram,Residential,39000,2023-08-01
Lucknow,Sadar,Subhash Puram,Residential,30000,2023-08-01
Lucknow,Sarojini Nagar,Saket Ganj,Commercial,77000,2023-08-01
Lucknow,Mohanlalganj,Ganga Enclave,Commercial,104000,2023-08-01
Lucknow,Sarojini Nagar,Patel Nagar,Residential,32000,2023-08-01
Lucknow,Malihabad,Vivekananda City,Residential,26000,2023-08-01
Lucknow,Malihabad,Laxmi Vihar,Residential,40000,2023-08-01
Lucknow,Mohanlalganj,Indira Puram,Commercial,101000,2023-08-01
Lucknow,BKT,Shyam Puram,Residential,39000,2023-08-01
Lucknow,BKT,Tagore Bagh,Residential,28000,2023-08-01
Lucknow,Sadar,Yamuna Ganj,Residential,34000,2023-08-01
Lucknow,Sarojini Nagar,Gandhi Ganj,Residential,31000,2023-08-01
Noida,Jewar,Ram Tech Zone ,Residential,55000,2023-08-01
Noida,Jewar,Laxmi Extension ,Residential,85000,2023-08-01
Noida,Jewar,Phase 126,Residential,91000,2023-08-01
Noida,Dadri,Yamuna Expressway ,Commercial,241000,2023-08-01
Noida,Gautam Buddha Nagar,Vasant Extension ,Residential,55000,2023-08-01
Noida,Dadri,Saket Extension ,Residential,62000,2023-08-01
Noida,Jewar,Sector 76,Commercial,223000,2023-08-01
Noida,Dadri,Phase 3,Residential,76000,2023-08-01
Noida,Dadri,Krishna Extension ,Residential,94000,2023-08-01
Noida,Jewar,Sector 149,Residential,82000,2023-08-01
Noida,Dadri,Krishna Expressway ,Commercial,145000,2023-08-01
Noida,Jewar,Sector 128,Commercial,136000,2023-08-01
Noida,Dadri,Saket Expressway ,Commercial,191000,2023-08-01
Noida,Dadri,Saraswati Tech Zone ,Commercial,178000,2023-08-01
Noida,Gautam Buddha Nagar,Sector 44,Residential,92000,2023-08-01
Noida,Dadri,Phase 131,Residential,73000,2023-08-01
Noida,Dadri,Saraswati Expressway ,Residential,66000,2023-08-01
Noida,Gautam Buddha Nagar,Sector 91,Residential,96000,2023-08-01
Noida,Jewar,Phase 98,Agricultural,19000,2023-08-01
Noida,Gautam Buddha Nagar,Patel Expressway ,Agricultural,22000,2023-08-01
Noida,Gautam Buddha Nagar,Vivekananda Tech Zone ,Residential,77000,2023-08-01
Noida,Gautam Buddha Nagar,Phase 13,Residential,52000,2023-08-01
Noida,Jewar,Yamuna Extension ,Commercial,215000,2023-08-01
Noida,Gautam Buddha Nagar,Shiv Tech Zone ,Residential,93000,2023-08-01
Noida,Gautam Buddha Nagar,Shyam Tech Zone ,Residential,66000,2023-08-01
Noida,Jewar,Shastri Expressway ,Commercial,140000,2023-08-01
Noida,Dadri,Govind Tech Zone ,Residential,65000,2023-08-01
Noida,Jewar,Phase 62,Residential,88000,2023-08-01
Noida,Gautam Buddha Nagar,Subhash Tech Zone ,Agricultural,15000,2023-08-01
Noida,Gautam Buddha Nagar,Gomti Expressway ,Residential,74000,2023-08-01
Noida,Gautam Buddha Nagar,Sector 13,Residential,58000,2023-08-01
Noida,Dadri,Sector 35,Residential,96000,2023-08-01
Noida,Gautam Buddha Nagar,Vasant Tech Zone ,Residential,91000,2023-08-01
Noida,Dadri,Sector 43,Commercial,217000,2023-08-01
Noida,Jewar,Laxmi Tech Zone ,Commercial,230000,2023-08-01
Noida,Dadri,Phase 24,Residential,57000,2023-08-01
Noida,Jewar,Sector 102,Agricultural,23000,2023-08-01
Noida,Jewar,Sector 61,Commercial,198000,2023-08-01
Noida,Dadri,Shyam Expressway ,Residential,53000,2023-08-01
Noida,Dadri,Phase 114,Agricultural,22000,2023-08-01
Noida,Jewar,Shastri Tech Zone ,Residential,69000,2023-08-01
Noida,Jewar,Laxmi Expressway ,Agricultural,27000,2023-08-01
Noida,Dadri,Sector 60,Residential,61000,2023-08-01
Noida,Jewar,Subhash Expressway ,Residential,87000,2023-08-01
Noida,Gautam Buddha Nagar,Ashok Tech Zone ,Commercial,242000,2023-08-01
Noida,Jewar,Patel Extension ,Commercial,178000,2023-08-01
